Date,Close
2015-01-01,199.40390107345544
2015-01-02,198.56177143007292
2015-01-05,198.85961623953762
2015-01-06,200.22758091630547
2015-01-07,200.09820481593437
2015-01-08,200.59112885149864
2015-01-09,201.4948604377881
2015-01-12,202.64476460539726
2015-01-13,201.37897656373616
2015-01-14,202.1901776743627
2015-01-15,202.25928365666874
2015-01-16,201.43772288940545
2015-01-19,200.50396402465475
2015-01-20,200.25521363812751
2015-01-21,198.85148485468787
2015-01-22,196.76422018690235
2015-01-23,196.9528403686725
2015-01-26,198.20370322231622
2015-01-27,197.93698294561747
2015-01-28,199.14219778258527
2015-01-29,198.63557529847634
2015-01-30,197.24050942774053
2015-02-02,195.0767464091494
2015-02-03,193.96325321737385
2015-02-04,196.19924468982296
2015-02-05,195.9540937657634
2015-02-06,193.3739776529365
2015-02-09,193.46422101022574
2015-02-10,192.99105818580128
2015-02-11,192.39121571770661
2015-02-12,191.5530453057881
2015-02-13,190.42370387808253
2015-02-16,189.98100734952882
2015-02-17,187.48193429428423
2015-02-18,185.9530646615243
2015-02-19,185.57896113715563
2015-02-20,186.74309215395363
2015-02-23,187.47908952575264
2015-02-24,190.21284421558684
2015-02-25,192.05138807863668
2015-02-26,189.45898415570494
2015-02-27,190.30462245357484
2015-03-02,191.80972316215593
2015-03-03,192.22946618020632
2015-03-04,189.6430226379741
2015-03-05,189.21105133099476
2015-03-06,188.13315947153413
2015-03-09,188.748731249496
2015-03-10,190.4905767301197
2015-03-11,191.51193550683533
2015-03-12,190.1084988772884
2015-03-13,191.33633192437475
2015-03-16,191.43721425659555
2015-03-17,192.96732040386738
2015-03-18,192.61979751007806
2015-03-19,192.99342759897252
2015-03-20,192.97987979385488
2015-03-23,192.72883253950314
2015-03-24,195.0089503246553
2015-03-25,196.39636270548607
2015-03-26,197.0884242546097
2015-03-27,195.09504818331584
2015-03-30,194.1286889464586
2015-03-31,194.2059022161149
2015-04-01,195.11417337106346
2015-04-02,192.64834530807292
2015-04-03,193.8984195227603
2015-04-06,192.29024729353975
2015-04-07,190.55711474860047
2015-04-08,192.09204153919654
2015-04-09,191.23111107641262
2015-04-10,191.73011338397927
2015-04-13,193.1845331218935
2015-04-14,194.0675786120344
2015-04-15,192.45708248085575
2015-04-16,191.58179512718144
2015-04-17,190.66789892950902
2015-04-20,191.194321181711
2015-04-21,191.64201283041248
2015-04-22,193.22249844861247
2015-04-23,193.93816977910836
2015-04-24,195.32257284743454
2015-04-27,195.01231727591363
2015-04-28,194.51887885925348
2015-04-29,192.2450350819937
2015-04-30,191.2693040192558
2015-05-01,188.82019550587884
2015-05-04,187.62499327487618
2015-05-05,189.76617042108202
2015-05-06,190.1123753484007
2015-05-07,190.2043429178788
2015-05-08,190.06199005829234
2015-05-11,189.35859630598756
2015-05-12,189.2594405298995
2015-05-13,190.75236399540998
2015-05-14,189.25859521595189
2015-05-15,188.35567153306144
2015-05-18,187.06625328185683
2015-05-19,186.60196746887016
2015-05-20,190.372696385608
2015-05-21,193.14230630720488
2015-05-22,196.10888860041604
2015-05-25,194.2139044757373
2015-05-26,192.19941565005797
2015-05-27,193.6273847583895
2015-05-28,192.32857631145012
2015-05-29,192.84178574980947
2015-06-01,190.8894442932772
2015-06-02,192.61384142348706
2015-06-03,192.50164834861994
2015-06-04,191.9957973366988
2015-06-05,196.2591032989227
2015-06-08,196.60667043400704
2015-06-09,195.08783032649717
2015-06-10,193.790815141218
2015-06-11,195.66816816016214
2015-06-12,194.30447976348228
2015-06-15,196.65041832004616
2015-06-16,194.8685521566367
2015-06-17,195.14308056905628
2015-06-18,193.3501098343046
