Date,SPY,QQQ,IWM,TLT
2015-01-01,79.17454550637616,119.55177992696076,160.92648931893007,201.13429427984286
2015-01-02,79.3351962762178,119.28156265025088,160.89065964089946,199.65545560904718
2015-01-05,79.16320847544125,118.84928883660486,160.80420693560717,200.22624020633924
2015-01-06,79.04737420915735,119.37492957142061,161.49917522537137,201.11932944647754
2015-01-07,78.94606810358007,118.22334993539363,161.11864052829247,200.0551682417014
2015-01-08,78.85947596447835,118.37540225952235,158.94617168131592,199.18942339005022
2015-01-09,79.56089220615061,117.65338746105616,158.5673233370573,199.57463801837773
2015-01-12,78.73477831398701,117.22381933458193,159.074323279068,200.38843203013306
2015-01-13,78.44785481654529,116.25058237200429,158.4973535386585,202.49041626901732
2015-01-14,77.81593801188704,115.81304613056992,160.0323070061883,202.7854036992475
2015-01-15,77.68992004480238,116.11174397971499,160.04679631497325,200.4856952992285
2015-01-16,78.43282913757254,116.82701577507933,159.69558861894583,200.9194555898268
2015-01-19,78.98622547240932,116.61344916684715,158.89373846969684,196.35153548145595
2015-01-20,78.76703932394277,116.53475319075694,158.75652761511586,195.6907386254619
2015-01-21,78.5464760110344,116.61523596176824,159.40143598198662,193.78895380930024
2015-01-22,78.27133321608208,116.71444552094745,158.6744642140669,195.49351895501894
2015-01-23,78.71312895213283,117.47482401678339,157.84716836894074,192.66969795223932
2015-01-26,78.94426875960579,117.51283859214932,157.86609382596987,194.1326376816561
2015-01-27,79.4504119544715,116.77469787146907,157.09106348410833,192.91108925181345
2015-01-28,79.00774197960077,117.17534429962072,157.04800651837482,193.4874873277892
2015-01-29,79.10031402342551,115.55490790526042,158.31005054563485,192.6790921975207
2015-01-30,78.93266272256176,116.28337822843793,157.13050725613215,193.96980322616565
2015-02-02,78.79341043796457,115.94175761614652,155.58188502840682,194.81755289637076
2015-02-03,79.61939561167424,115.16875362540459,157.4620620695162,193.1711049214992
2015-02-04,78.60752107927375,115.61793909111981,159.18196573159298,193.88934612519526
2015-02-05,78.10037821048513,116.19799180597542,159.04481066692284,195.59996505154533
2015-02-06,77.62818245311055,116.2875761029796,159.21016214382036,198.04520333083394
2015-02-09,77.89599776924643,116.52299471068298,161.24030437993457,198.35223083736696
2015-02-10,77.65846882691636,117.2071389709076,160.57250726356384,198.89806391923926
2015-02-11,78.27944244829084,117.4109190402394,160.62679173473865,200.81551845135377
2015-02-12,78.42155597130079,116.66265259377685,160.9516650597087,201.5112847932218
2015-02-13,78.57601770045004,116.36116227389445,161.08572100071726,199.8970180322895
2015-02-16,78.52661640576034,116.70167694071385,162.29592391612303,201.18395052318806
2015-02-17,78.89321095861094,117.18001944636534,161.27019726717856,201.24015129525884
2015-02-18,78.11296479721986,116.46935119250962,161.00591721293364,202.42790033289796
2015-02-19,78.37299709004414,116.25818742283181,160.84542900408465,203.51261204471774
2015-02-20,78.92506503166895,116.6553900111212,159.4056602757294,203.42907968085328
2015-02-23,79.58397942638811,116.88088599207325,158.44284355822967,203.70681332052277
2015-02-24,80.9174579366489,116.60446876019067,160.1313911580807,204.37634456730845
2015-02-25,81.04954276861604,117.86407421445226,159.7807436861392,202.5719191895003
2015-02-26,81.01387751617469,118.17342612969583,160.14686414232617,201.91167179041346
2015-02-27,81.22573723444484,117.57653439803742,161.08602123517173,202.58016896138557
2015-03-02,81.59032157191804,118.49629190612966,161.37312667337852,204.5123953434238
2015-03-03,81.49600167759726,118.85335028016652,161.35110438552329,206.30176040230847
2015-03-04,82.05467799250087,117.86832011027758,160.61328587193717,206.87838833934325
2015-03-05,82.87824834358972,119.10970857238097,160.28144399501224,208.4661353116783
2015-03-06,83.44092568710536,118.37865504122261,161.01689668166586,206.02826582856176
2015-03-09,83.60267624853344,118.25267402783645,161.2624271497166,205.84924975628738
2015-03-10,83.39870406486705,118.83971083361303,161.17584737644256,205.71501901536163
2015-03-11,83.76786959818693,119.09083846533514,160.09341022924258,207.04211684509067
2015-03-12,83.84973064255426,118.4515915682577,161.4162803309169,208.5340436255964
2015-03-13,84.35957250160402,118.1808176801928,162.39753489227115,209.92559981237204
2015-03-16,84.6940444199571,118.39536126019449,162.7947002604904,209.17012080685384
2015-03-17,84.6456027208893,117.56063732848389,162.4462017660121,206.63860634771058
2015-03-18,84.2888460847147,117.4388527341324,161.71753250094775,205.9991192223289
2015-03-19,84.40638108835424,116.8843630235277,161.13087787674993,205.95117789224332
2015-03-20,84.87137950898963,112.89998730802208,163.17732123427473,205.74406851835357
2015-03-23,84.53943424060357,110.79360198379614,163.82114721238696,204.74731204948426
2015-03-24,84.6636198627208,107.75168544338909,165.20161639467915,204.85463941073422
2015-03-25,85.47380014412082,106.957087024199,166.07244218847651,203.4301656198533
2015-03-26,85.32875827339475,117.00692135938016,165.4501142891922,202.72914831323453
2015-03-27,84.74924917803895,116.86630235936745,163.02487010642196,203.55291389536316
2015-03-30,82.88690981990071,116.76364181756622,161.10921437235092,203.0293106791681
2015-03-31,81.99932412597185,117.8606695485557,160.03946308543988,201.23187986664877
